abbreviation,SEASON,PLAYER
MEM,2021,Dillon Brooks
MEM,2021,Sam Merrill
MEM,2021,Killian Tillie
MEM,2021,John Konchar
WAS,2021,Kentavious Caldwell-Pope
WAS,2021,Bradley Beal
WAS,2021,Aaron Holiday
WAS,2021,Cassius Winston
WAS,2021,Montrezl Harrell
WAS,2021,Rui Hachimura
WAS,2021,Deni Avdija
WAS,2021,Thomas Bryant
WAS,2021,Isaiah Todd
WAS,2021,Anthony Gill
WAS,2021,Joel Ayayi
WAS,2021,Raul Neto
WAS,2021,Daniel Gafford
WAS,2021,Corey Kispert
WAS,2021,Spencer Dinwiddie
WAS,2021,Kyle Kuzma
WAS,2021,Davis Bertans
DET,2021,Chris Smith
DET,2021,Cade Cunningham
DET,2021,Frank Jackson
DET,2021,Hamidou Diallo
DET,2021,Killian Hayes
DET,2021,Trey Lyles
DET,2021,Jerami Grant
DET,2021,Isaiah Livers
DET,2021,Kelly Olynyk
DET,2021,Rodney McGruder
DET,2021,Cory Joseph
DET,2021,Josh Jackson
DET,2021,Jamorko Pickett
DET,2021,Isaiah Stewart
DET,2021,Saben Lee
DET,2021,Saddiq Bey
DET,2021,Luka Garza
CHA,2021,Miles Bridges
CHA,2021,LaMelo Ball
CHA,2021,Terry Rozier
CHA,2021,James Bouknight
CHA,2021,Jalen McDaniels
CHA,2021,Ish Smith
CHA,2021,Cody Martin
CHA,2021,Kelly Oubre Jr.
CHA,2021,Nick Richards
CHA,2021,Scottie Lewis
CHA,2021,Gordon Hayward
CHA,2021,JT Thor
CHA,2021,Vernon Carey Jr.
CHA,2021,Kai Jones
CHA,2021,Mason Plumlee
CHA,2021,P.J. Washington
CHA,2021,Arnoldas Kulboka
